"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18308","kmutnb","chromium","Sun Oct 19 04:15:18 ICT 2025","passed","Sun Oct 19 04:15:36 ICT 2025","","screenshot.spec.js","",""
"","2870","chula1","chromium","Sun Oct 19 04:15:18 ICT 2025","passed","Sun Oct 19 04:15:21 ICT 2025","","screenshot.spec.js","",""
"","4543","has title","webkit","Sun Oct 19 04:17:23 ICT 2025","passed","Sun Oct 19 04:17:28 ICT 2025","","example.spec.js","",""
"","11020","admin_GS_04","chromium","Sun Oct 19 04:15:02 ICT 2025","passed","Sun Oct 19 04:15:13 ICT 2025","","APR_DT_test.spec.js","",""
"","4195","screenshot","chromium","Sun Oct 19 04:15:19 ICT 2025","passed","Sun Oct 19 04:15:23 ICT 2025","","screenshot.spec.js","",""
"","10514","student_quiz_01","chromium","Sun Oct 19 04:14:58 ICT 2025","passed","Sun Oct 19 04:15:08 ICT 2025","","APR_DT_test.spec.js","",""
"","5147","teacher_login_04","webkit","Sun Oct 19 04:16:57 ICT 2025","passed","Sun Oct 19 04:17:02 ICT 2025","","APR_DT_test.spec.js","",""
"","13334","chula","webkit","Sun Oct 19 04:17:35 ICT 2025","passed","Sun Oct 19 04:17:48 ICT 2025","","screenshot.spec.js","",""
"","10883","student_login_04","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:55 ICT 2025","","APR_DT_test.spec.js","",""
"","10145","chula","chromium","Sun Oct 19 04:15:18 ICT 2025","passed","Sun Oct 19 04:15:28 ICT 2025","","screenshot.spec.js","",""
"","5512","chula1","webkit","Sun Oct 19 04:17:40 ICT 2025","passed","Sun Oct 19 04:17:46 ICT 2025","","screenshot.spec.js","",""
"","8003","test","firefox","Sun Oct 19 04:16:31 ICT 2025","failed","Sun Oct 19 04:16:39 ICT 2025","","teses.spec.js","",""
"","4298","admin_SG_05","chromium","Sun Oct 19 04:15:14 ICT 2025","passed","Sun Oct 19 04:15:18 ICT 2025","","APR_DT_test.spec.js","",""
"","7516","admin_GS_01","chromium","Sun Oct 19 04:15:01 ICT 2025","passed","Sun Oct 19 04:15:09 ICT 2025","","APR_DT_test.spec.js","",""
"","30107","student_quiz_01","firefox","Sun Oct 19 04:15:57 ICT 2025","broken","Sun Oct 19 04:16:27 ICT 2025","","APR_DT_test.spec.js","",""
"","2874","computer_surin01","webkit","Sun Oct 19 04:17:40 ICT 2025","passed","Sun Oct 19 04:17:43 ICT 2025","","teses.spec.js","",""
"","3438","admin_SG_04","chromium","Sun Oct 19 05:19:46 ICT 2025","failed","Sun Oct 19 05:19:50 ICT 2025","","APR_DT_test.spec.js","",""
"","3081","admin_RT_02","chromium","Sun Oct 19 04:15:16 ICT 2025","passed","Sun Oct 19 04:15:19 ICT 2025","","APR_DT_test.spec.js","",""
"","5937","admin_RT_02","firefox","Sun Oct 19 04:16:22 ICT 2025","passed","Sun Oct 19 04:16:28 ICT 2025","","APR_DT_test.spec.js","",""
"","4586","admin_SG_05","firefox","Sun Oct 19 04:16:18 ICT 2025","passed","Sun Oct 19 04:16:23 ICT 2025","","APR_DT_test.spec.js","",""
"","23471","ess","webkit","Sun Oct 19 04:17:38 ICT 2025","passed","Sun Oct 19 04:18:01 ICT 2025","","teses.spec.js","",""
"","11585","student_login_01","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:55 ICT 2025","","APR_DT_test.spec.js","",""
"","6473","admin_GS_06","chromium","Sun Oct 19 04:15:03 ICT 2025","passed","Sun Oct 19 04:15:09 ICT 2025","","APR_DT_test.spec.js","",""
"","18183","admin_RT_01","webkit","Sun Oct 19 04:17:22 ICT 2025","passed","Sun Oct 19 04:17:40 ICT 2025","","APR_DT_test.spec.js","",""
"","9522","admin_GS_01","webkit","Sun Oct 19 04:17:03 ICT 2025","passed","Sun Oct 19 04:17:12 ICT 2025","","APR_DT_test.spec.js","",""
"","3379","student_quiz_03","chromium","Sun Oct 19 04:15:00 ICT 2025","passed","Sun Oct 19 04:15:03 ICT 2025","","APR_DT_test.spec.js","",""
"","4515","student_quiz_02","firefox","Sun Oct 19 04:15:59 ICT 2025","passed","Sun Oct 19 04:16:04 ICT 2025","","APR_DT_test.spec.js","",""
"","4914","teacher_login_02","webkit","Sun Oct 19 04:16:55 ICT 2025","passed","Sun Oct 19 04:17:00 ICT 2025","","APR_DT_test.spec.js","",""
"","2529","admin_login_05","firefox","Sun Oct 19 04:15:57 ICT 2025","passed","Sun Oct 19 04:15:59 ICT 2025","","APR_DT_test.spec.js","",""
"","2319","student_login_05","chromium","Sun Oct 19 04:14:55 ICT 2025","passed","Sun Oct 19 04:14:57 ICT 2025","","APR_DT_test.spec.js","",""
"","9935","student_register_02","webkit","Sun Oct 19 04:16:53 ICT 2025","passed","Sun Oct 19 04:17:03 ICT 2025","","APR_DT_test.spec.js","",""
"","5584","admin_SG_01","chromium","Sun Oct 19 04:15:10 ICT 2025","passed","Sun Oct 19 04:15:16 ICT 2025","","APR_DT_test.spec.js","",""
"","11806","student_register_04","firefox","Sun Oct 19 04:15:38 ICT 2025","passed","Sun Oct 19 04:15:50 ICT 2025","","APR_DT_test.spec.js","",""
"","5184","admin_login_01","chromium","Sun Oct 19 04:14:56 ICT 2025","passed","Sun Oct 19 04:15:02 ICT 2025","","APR_DT_test.spec.js","",""
"","9863","admin_GS_02","chromium","Sun Oct 19 04:15:01 ICT 2025","passed","Sun Oct 19 04:15:11 ICT 2025","","APR_DT_test.spec.js","",""
"","2300","teacher_login_03","chromium","Sun Oct 19 04:14:56 ICT 2025","passed","Sun Oct 19 04:14:58 ICT 2025","","APR_DT_test.spec.js","",""
"","5050","admin_question_01","firefox","Sun Oct 19 04:16:08 ICT 2025","passed","Sun Oct 19 04:16:13 ICT 2025","","APR_DT_test.spec.js","",""
"","4252","teacher_login_05","webkit","Sun Oct 19 04:16:57 ICT 2025","passed","Sun Oct 19 04:17:02 ICT 2025","","APR_DT_test.spec.js","",""
"","11401","student_register_04","webkit","Sun Oct 19 04:16:44 ICT 2025","passed","Sun Oct 19 04:16:55 ICT 2025","","APR_DT_test.spec.js","",""
"","13511","test","chromium","Sun Oct 19 04:15:22 ICT 2025","failed","Sun Oct 19 04:15:35 ICT 2025","","teses.spec.js","",""
"","4650","admin_login_02","chromium","Sun Oct 19 04:14:57 ICT 2025","passed","Sun Oct 19 04:15:01 ICT 2025","","APR_DT_test.spec.js","",""
"","2938","computer_surin01","chromium","Sun Oct 19 04:15:19 ICT 2025","passed","Sun Oct 19 04:15:22 ICT 2025","","teses.spec.js","",""
"","2519","ess","chromium","Sun Oct 19 04:15:19 ICT 2025","passed","Sun Oct 19 04:15:22 ICT 2025","","teses.spec.js","",""
"","10501","admin_SG_02","webkit","Sun Oct 19 04:17:17 ICT 2025","passed","Sun Oct 19 04:17:28 ICT 2025","","APR_DT_test.spec.js","",""
"","7451","student_login_01","webkit","Sun Oct 19 04:16:45 ICT 2025","passed","Sun Oct 19 04:16:52 ICT 2025","","APR_DT_test.spec.js","",""
"","11085","admin_GS_02","webkit","Sun Oct 19 04:17:04 ICT 2025","passed","Sun Oct 19 04:17:15 ICT 2025","","APR_DT_test.spec.js","",""
"","7099","student_login_01","firefox","Sun Oct 19 04:16:30 ICT 2025","passed","Sun Oct 19 04:16:37 ICT 2025","","APR_DT_test.spec.js","",""
"","3114","computer_surin02","webkit","Sun Oct 19 04:17:40 ICT 2025","passed","Sun Oct 19 04:17:43 ICT 2025","","teses.spec.js","",""
"","8498","admin_GS_03","chromium","Sun Oct 19 04:15:02 ICT 2025","passed","Sun Oct 19 04:15:10 ICT 2025","","APR_DT_test.spec.js","",""
"","4955","student_quiz_03","webkit","Sun Oct 19 04:17:03 ICT 2025","passed","Sun Oct 19 04:17:08 ICT 2025","","APR_DT_test.spec.js","",""
"","10890","student_login_03","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:55 ICT 2025","","APR_DT_test.spec.js","",""
"","30985","student_quiz_01","webkit","Sun Oct 19 04:17:02 ICT 2025","broken","Sun Oct 19 04:17:33 ICT 2025","","APR_DT_test.spec.js","",""
"","12217","kmutnb","firefox","Sun Oct 19 04:16:26 ICT 2025","passed","Sun Oct 19 04:16:38 ICT 2025","","screenshot.spec.js","",""
"","12401","student_register_01","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:56 ICT 2025","","APR_DT_test.spec.js","",""
"","6625","student_login_02","firefox","Sun Oct 19 04:15:45 ICT 2025","passed","Sun Oct 19 04:15:51 ICT 2025","","APR_DT_test.spec.js","",""
"","4345","admin_login_05","chromium","Sun Oct 19 04:14:57 ICT 2025","passed","Sun Oct 19 04:15:02 ICT 2025","","APR_DT_test.spec.js","",""
"","10757","admin_question_01","chromium","Sun Oct 19 04:15:03 ICT 2025","passed","Sun Oct 19 04:15:14 ICT 2025","","APR_DT_test.spec.js","",""
"","3335","admin_RT_01","chromium","Sun Oct 19 04:15:16 ICT 2025","passed","Sun Oct 19 04:15:19 ICT 2025","","APR_DT_test.spec.js","",""
"","4399","admin_login_03","webkit","Sun Oct 19 04:17:00 ICT 2025","passed","Sun Oct 19 04:17:04 ICT 2025","","APR_DT_test.spec.js","",""
"","7261","chula1","firefox","Sun Oct 19 04:16:30 ICT 2025","passed","Sun Oct 19 04:16:37 ICT 2025","","screenshot.spec.js","",""
"","5630","admin_SG_02","chromium","Sun Oct 19 04:15:11 ICT 2025","passed","Sun Oct 19 04:15:17 ICT 2025","","APR_DT_test.spec.js","",""
"","11796","student_register_03","webkit","Sun Oct 19 04:16:45 ICT 2025","passed","Sun Oct 19 04:16:57 ICT 2025","","APR_DT_test.spec.js","",""
"","9519","admin_question_01","webkit","Sun Oct 19 04:17:12 ICT 2025","passed","Sun Oct 19 04:17:22 ICT 2025","","APR_DT_test.spec.js","",""
"","4602","get started link","chromium","Sun Oct 19 04:15:17 ICT 2025","passed","Sun Oct 19 04:15:22 ICT 2025","","example.spec.js","",""
"","4680","admin_GS_04","firefox","Sun Oct 19 04:16:04 ICT 2025","passed","Sun Oct 19 04:16:09 ICT 2025","","APR_DT_test.spec.js","",""
"","6934","admin_GS_02","firefox","Sun Oct 19 04:15:59 ICT 2025","passed","Sun Oct 19 04:16:06 ICT 2025","","APR_DT_test.spec.js","",""
"","2791","admin_login_04","firefox","Sun Oct 19 04:15:57 ICT 2025","passed","Sun Oct 19 04:15:59 ICT 2025","","APR_DT_test.spec.js","",""
"","6637","get started link","webkit","Sun Oct 19 04:17:28 ICT 2025","passed","Sun Oct 19 04:17:34 ICT 2025","","example.spec.js","",""
"","10898","student_login_02","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:55 ICT 2025","","APR_DT_test.spec.js","",""
"","8125","admin_GS_03","webkit","Sun Oct 19 04:17:04 ICT 2025","passed","Sun Oct 19 04:17:13 ICT 2025","","APR_DT_test.spec.js","",""
"","8240","student_register_03","firefox","Sun Oct 19 04:16:12 ICT 2025","passed","Sun Oct 19 04:16:20 ICT 2025","","APR_DT_test.spec.js","",""
"","14101","screenshot","webkit","Sun Oct 19 04:17:28 ICT 2025","passed","Sun Oct 19 04:17:42 ICT 2025","","screenshot.spec.js","",""
"","4791","student_quiz_03","firefox","Sun Oct 19 04:15:59 ICT 2025","passed","Sun Oct 19 04:16:04 ICT 2025","","APR_DT_test.spec.js","",""
"","6238","admin_question_04","firefox","Sun Oct 19 04:16:12 ICT 2025","passed","Sun Oct 19 04:16:18 ICT 2025","","APR_DT_test.spec.js","",""
"","2311","teacher_login_01","chromium","Sun Oct 19 04:14:55 ICT 2025","passed","Sun Oct 19 04:14:57 ICT 2025","","APR_DT_test.spec.js","",""
"","2479","teacher_login_02","chromium","Sun Oct 19 04:14:55 ICT 2025","passed","Sun Oct 19 04:14:57 ICT 2025","","APR_DT_test.spec.js","",""
"","5219","student_login_04","webkit","Sun Oct 19 04:16:50 ICT 2025","passed","Sun Oct 19 04:16:55 ICT 2025","","APR_DT_test.spec.js","",""
"","4658","admin_login_02","webkit","Sun Oct 19 04:16:58 ICT 2025","passed","Sun Oct 19 04:17:02 ICT 2025","","APR_DT_test.spec.js","",""
"","4932","teacher_login_05","chromium","Sun Oct 19 04:14:56 ICT 2025","passed","Sun Oct 19 04:15:01 ICT 2025","","APR_DT_test.spec.js","",""
"","5186","student_login_03","webkit","Sun Oct 19 04:16:50 ICT 2025","passed","Sun Oct 19 04:16:55 ICT 2025","","APR_DT_test.spec.js","",""
"","11347","student_register_01","webkit","Sun Oct 19 04:16:44 ICT 2025","passed","Sun Oct 19 04:16:55 ICT 2025","","APR_DT_test.spec.js","",""
"","8372","student_login_04","firefox","Sun Oct 19 04:15:43 ICT 2025","passed","Sun Oct 19 04:15:51 ICT 2025","","APR_DT_test.spec.js","",""
"","3947","admin_login_05","webkit","Sun Oct 19 04:17:02 ICT 2025","passed","Sun Oct 19 04:17:06 ICT 2025","","APR_DT_test.spec.js","",""
"","5959","admin_GS_05","firefox","Sun Oct 19 04:16:06 ICT 2025","passed","Sun Oct 19 04:16:12 ICT 2025","","APR_DT_test.spec.js","",""
"","4962","admin_GS_06","firefox","Sun Oct 19 04:16:06 ICT 2025","passed","Sun Oct 19 04:16:11 ICT 2025","","APR_DT_test.spec.js","",""
"","4812","computer_surin02","chromium","Sun Oct 19 04:15:21 ICT 2025","passed","Sun Oct 19 04:15:26 ICT 2025","","teses.spec.js","",""
"","1973","admin_login_03","chromium","Sun Oct 19 04:14:57 ICT 2025","passed","Sun Oct 19 04:14:59 ICT 2025","","APR_DT_test.spec.js","",""
"","4517","admin_GS_03","firefox","Sun Oct 19 04:16:04 ICT 2025","passed","Sun Oct 19 04:16:08 ICT 2025","","APR_DT_test.spec.js","",""
"","17437","admin_RT_02","webkit","Sun Oct 19 04:17:23 ICT 2025","passed","Sun Oct 19 04:17:40 ICT 2025","","APR_DT_test.spec.js","",""
"","3514","has title","chromium","Sun Oct 19 04:15:19 ICT 2025","passed","Sun Oct 19 04:15:22 ICT 2025","","example.spec.js","",""
"","2744","admin_login_03","firefox","Sun Oct 19 04:15:56 ICT 2025","passed","Sun Oct 19 04:15:59 ICT 2025","","APR_DT_test.spec.js","",""
"","2109","teacher_login_03","firefox","Sun Oct 19 04:15:53 ICT 2025","passed","Sun Oct 19 04:15:55 ICT 2025","","APR_DT_test.spec.js","",""
"","7449","admin_GS_04","webkit","Sun Oct 19 04:17:06 ICT 2025","passed","Sun Oct 19 04:17:13 ICT 2025","","APR_DT_test.spec.js","",""
"","6428","admin_GS_01","firefox","Sun Oct 19 04:15:59 ICT 2025","passed","Sun Oct 19 04:16:06 ICT 2025","","APR_DT_test.spec.js","",""
"","7820","admin_SG_04","firefox","Sun Oct 19 04:16:17 ICT 2025","failed","Sun Oct 19 04:16:25 ICT 2025","","APR_DT_test.spec.js","",""
"","4051","teacher_login_01","webkit","Sun Oct 19 04:16:53 ICT 2025","passed","Sun Oct 19 04:16:57 ICT 2025","","APR_DT_test.spec.js","",""
"","8480","test","webkit","Sun Oct 19 04:17:41 ICT 2025","failed","Sun Oct 19 04:17:49 ICT 2025","","teses.spec.js","",""
"","12794","student_register_03","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:56 ICT 2025","","APR_DT_test.spec.js","",""
"","24686","student_login_05","webkit","Sun Oct 19 04:16:52 ICT 2025","passed","Sun Oct 19 04:17:17 ICT 2025","","APR_DT_test.spec.js","",""
"","8161","admin_GS_06","webkit","Sun Oct 19 04:17:08 ICT 2025","passed","Sun Oct 19 04:17:16 ICT 2025","","APR_DT_test.spec.js","",""
"","1328","has title","firefox","Sun Oct 19 04:16:23 ICT 2025","passed","Sun Oct 19 04:16:24 ICT 2025","","example.spec.js","",""
"","3607","admin_SG_01","firefox","Sun Oct 19 04:16:13 ICT 2025","passed","Sun Oct 19 04:16:17 ICT 2025","","APR_DT_test.spec.js","",""
"","10406","chula","firefox","Sun Oct 19 04:16:30 ICT 2025","passed","Sun Oct 19 04:16:40 ICT 2025","","screenshot.spec.js","",""
"","3465","admin_RT_01","firefox","Sun Oct 19 04:16:21 ICT 2025","passed","Sun Oct 19 04:16:24 ICT 2025","","APR_DT_test.spec.js","",""
"","5547","teacher_login_04","chromium","Sun Oct 19 04:14:56 ICT 2025","passed","Sun Oct 19 04:15:02 ICT 2025","","APR_DT_test.spec.js","",""
"","4364","admin_login_04","webkit","Sun Oct 19 04:17:00 ICT 2025","passed","Sun Oct 19 04:17:04 ICT 2025","","APR_DT_test.spec.js","",""
"","8548","student_login_03","firefox","Sun Oct 19 04:16:30 ICT 2025","passed","Sun Oct 19 04:16:38 ICT 2025","","APR_DT_test.spec.js","",""
"","2172","admin_login_01","firefox","Sun Oct 19 04:15:55 ICT 2025","passed","Sun Oct 19 04:15:57 ICT 2025","","APR_DT_test.spec.js","",""
"","5156","student_quiz_02","webkit","Sun Oct 19 04:17:03 ICT 2025","passed","Sun Oct 19 04:17:08 ICT 2025","","APR_DT_test.spec.js","",""
"","3978","student_login_05","firefox","Sun Oct 19 04:15:46 ICT 2025","passed","Sun Oct 19 04:15:50 ICT 2025","","APR_DT_test.spec.js","",""
"","2555","admin_login_02","firefox","Sun Oct 19 04:15:56 ICT 2025","passed","Sun Oct 19 04:15:59 ICT 2025","","APR_DT_test.spec.js","",""
"","5347","screenshot","firefox","Sun Oct 19 04:16:24 ICT 2025","passed","Sun Oct 19 04:16:30 ICT 2025","","screenshot.spec.js","",""
"","4984","teacher_login_03","webkit","Sun Oct 19 04:16:55 ICT 2025","passed","Sun Oct 19 04:17:00 ICT 2025","","APR_DT_test.spec.js","",""
"","4652","admin_login_01","webkit","Sun Oct 19 04:16:58 ICT 2025","passed","Sun Oct 19 04:17:02 ICT 2025","","APR_DT_test.spec.js","",""
"","12797","student_register_02","firefox","Sun Oct 19 04:15:40 ICT 2025","passed","Sun Oct 19 04:15:53 ICT 2025","","APR_DT_test.spec.js","",""
"","10250","admin_GS_05","chromium","Sun Oct 19 04:15:02 ICT 2025","passed","Sun Oct 19 04:15:12 ICT 2025","","APR_DT_test.spec.js","",""
"","6073","admin_SG_03","webkit","Sun Oct 19 04:17:17 ICT 2025","passed","Sun Oct 19 04:17:23 ICT 2025","","APR_DT_test.spec.js","",""
"","2696","ess","firefox","Sun Oct 19 04:16:28 ICT 2025","passed","Sun Oct 19 04:16:31 ICT 2025","","teses.spec.js","",""
"","2550","computer_surin02","firefox","Sun Oct 19 04:16:30 ICT 2025","passed","Sun Oct 19 04:16:32 ICT 2025","","teses.spec.js","",""
"","8452","admin_question_04","chromium","Sun Oct 19 04:15:09 ICT 2025","passed","Sun Oct 19 04:15:18 ICT 2025","","APR_DT_test.spec.js","",""
"","2231","teacher_login_04","firefox","Sun Oct 19 04:15:54 ICT 2025","passed","Sun Oct 19 04:15:56 ICT 2025","","APR_DT_test.spec.js","",""
"","12197","student_register_02","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:56 ICT 2025","","APR_DT_test.spec.js","",""
"","6411","student_login_02","webkit","Sun Oct 19 04:16:45 ICT 2025","passed","Sun Oct 19 04:16:51 ICT 2025","","APR_DT_test.spec.js","",""
"","12464","student_register_04","chromium","Sun Oct 19 04:14:44 ICT 2025","passed","Sun Oct 19 04:14:56 ICT 2025","","APR_DT_test.spec.js","",""
"","15592","admin_SG_05","webkit","Sun Oct 19 04:17:22 ICT 2025","passed","Sun Oct 19 04:17:37 ICT 2025","","APR_DT_test.spec.js","",""
"","3762","admin_SG_02","firefox","Sun Oct 19 04:16:14 ICT 2025","passed","Sun Oct 19 04:16:17 ICT 2025","","APR_DT_test.spec.js","",""
"","6131","computer_surin01","firefox","Sun Oct 19 04:16:30 ICT 2025","passed","Sun Oct 19 04:16:37 ICT 2025","","teses.spec.js","",""
"","13660","admin_SG_04","webkit","Sun Oct 19 04:17:21 ICT 2025","failed","Sun Oct 19 04:17:35 ICT 2025","","APR_DT_test.spec.js","",""
"","14112","admin_question_03","firefox","Sun Oct 19 04:16:11 ICT 2025","failed","Sun Oct 19 04:16:25 ICT 2025","","APR_DT_test.spec.js","",""
"","12019","kmutnb","webkit","Sun Oct 19 04:17:39 ICT 2025","passed","Sun Oct 19 04:17:51 ICT 2025","","screenshot.spec.js","",""
"","3505","student_quiz_02","chromium","Sun Oct 19 04:14:59 ICT 2025","passed","Sun Oct 19 04:15:03 ICT 2025","","APR_DT_test.spec.js","",""
"","2347","admin_login_04","chromium","Sun Oct 19 04:14:57 ICT 2025","passed","Sun Oct 19 04:15:00 ICT 2025","","APR_DT_test.spec.js","",""
"","6205","admin_SG_01","webkit","Sun Oct 19 04:17:16 ICT 2025","passed","Sun Oct 19 04:17:22 ICT 2025","","APR_DT_test.spec.js","",""
